
# Campaign Table
# CampaignId; Name; ProductId; StartDate; EndDate; CampaignPrice
CAMPAIGN_START
001; Campaign 1; 001; 2023-11-02; 2024-12-12; 20,00
002; Campaign 2; 002; 2023-11-02; 2024-12-12; 10,00
003; Campaign 3; 003; 2023-11-03; 2024-12-13; 10,00
004; Campaign 4; 004; 2023-11-04; 2024-12-14; 40,00
CAMPAIGN_END

# Product Table
# ProductId; Name; Price; Unit, hasCampaign
PRODUCT_START
001; Tandborste; 25,00; st; true
002; Mjölk; 22,00; st; true
003; Ägg; 21,75; st; true
004; Pasta; 27,25; kg; true
005; Tomater; 28,90; kg; false
006; Bröd; 9,75; st; false
007; Kyckling; 51,00; kg; false
008; Tvål; 6,20; st; false
009; Kaffe; 32,80; st; false
010; Potatis; 10,50; kg; false
011; Apelsiner; 25,20; kg; false
012; Yoghurt; 13,25; st; false
013; Rispaket; 7,10; st; false
014; Köttfärs; 78,50; kg; false
015; Tandkräm; 9,00; st; false
016; Cornflakes; 14,20; st; false
017; Laxfilé; 63,80; kg; false
018; Diskmedel; 8,25; st; false
019; Te; 29,50; st; false
020; Jordnötssmör; 14,50; st; false
021; Socker; 4,50; kg; false
022; Grönsåpa; 8,20; st; false
023; Kycklinglår; 45,00; kg; false
024; Hushållspapper; 5,50; st; false
025; Ketchup; 11,50; st; false
026; Potatischips; 7,00; st; false
027; Skor; 89,00; st; false
028; Tandtråd; 4,75; st; false
029; Citroner; 27,00; kg; false
030; Mjöl; 6,75; kg; false
031; Diskborste; 3,25; st; false
032; Olivolja; 17,80; st; false
033; Löksoppa; 5,50; st; false
034; Havregryn; 8,50; st; false
035; Körsbär; 35,50; kg; false
036; Köttbullar; 12,00; st; false
037; Kolsyrat vatten; 2,00; st; false
038; Glass; 15,75; st; false
039; Choklad; 3,50; st; false
040; Inlagd gurka; 6,80; st; false
041; Korv; 9,50; st; false
042; Honung; 16,00; st; false
043; Grönsaker; 18,00; kg; false
044; Fiskpinnar; 11,80; st; false
045; Majsmjöl; 5,25; kg; false
046; Tacosås; 7,20; st; false
047; Kattmat; 6,00; kg; false
048; Hundmat; 5,75; kg; false
049; Hushållsrulle; 8,00; st; false
050; Melon; 22,00; kg; false
051; Paraply; 12,50; st; false
052; Rengöringsmedel; 5,80; st; false
053; Kycklingvingar; 49,00; kg; false
054; Filmrullar; 4,25; st; false
055; Körsbärstomater; 26,50; kg; false
056; Kex; 4,80; st; false
057; Äppeljuice; 13,00; st; false
058; Chokladkakor; 7,50; st; false
059; Morötter; 9,80; kg; false
060; Skrivblock; 2,50; st; false
061; Ananas; 19,00; st; false
062; Tofflor; 16,50; st; false
063; Päron; 17,00; kg; false
064; Bönpasta; 5,50; st; false
065; Plåster; 3,00; st; false
066; Glasögon; 89,50; st; false
067; Kalkonbröst; 58,50; kg; false
068; Disktrasa; 2,20; st; false
069; Sojamjölk; 10,50; st; false
070; Bordsalt; 1,50; kg; false
071; Lök; 6,00; kg; false
072; Rödvinsvinäger; 4,50; st; false
073; Tonfisk; 14,50; st; false
074; Ljus; 3,25; st; false
075; Grapefrukt; 12,80; kg; false
076; Snöre; 1,80; st; false
077; Bönor; 4,50; kg; false
078; Rengöringsspray; 7,20; st; false
079; Tuggummi; 1,00; st; false
080; Vindruvor; 19,50; kg; false
081; Diskmaskindiskmedel; 9,75; st; false
082; Konserverad soppa; 5,20; st; false
083; Chilisås; 7,50; st; false
084; Makaroner; 8,00; kg; false
085; Svamp; 3,80; st; false
086; Fruktsallad; 6,50; kg; false
087; Fruktpaj; 10,00; st; false
088; Aprikoser; 22,50; kg; false
089; Putsduk; 2,75; st; false
090; Vindruta; 13,20; kg; false
091; Laxkaviar; 17,50; st; false
092; Krutonger; 5,00; st; false
093; Bovetepasta; 7,80; st; false
094; Salladsdressing; 4,75; st; false
095; Kycklinglårfile; 46,50; kg; false
096; Brödpålägg; 5,20; st; false
097; Fiskburk; 6,25; st; false
098; Lök; 4,50; kg; false
099; Grönsaksblandning; 5,80; kg; false
